ts,load1,cpu_pct,mem_used_mb,mem_total_mb,gpu0_pct,gpu0_mem_mb,gpu1_pct,gpu1_mem_mb,gpu_temp
1787360092,1.30,3.3,11784,28012,27,7397,0,0,72
1787360094,1.30,3.5,11776,28012,18,7397,0,0,72
1787360096,1.30,3.3,11762,28012,28,7397,0,0,71
1787360098,1.28,4.1,11756,28012,28,7397,0,0,71
1787360100,1.28,3.5,11748,28012,28,7397,0,0,71
1787360102,1.26,3.7,11750,28012,40,7397,0,0,71
1787360105,1.26,4.6,11754,28012,38,7397,0,0,74
1787360107,1.24,3.6,11830,28012,21,7397,0,0,73
1787360109,1.24,3.6,11818,28012,22,7397,0,0,72
1787360111,1.24,3.5,11814,28012,23,7397,0,0,72
1787360113,1.30,4.3,11812,28012,24,7397,0,0,72
1787360115,1.30,3.7,11798,28012,24,7397,0,0,72
1787360117,1.27,3.6,11783,28012,24,7397,0,0,72
1787360120,1.27,4.1,11781,28012,18,7397,0,0,74
1787360122,1.25,3.6,11786,28012,21,7397,0,0,73
1787360124,1.25,3.9,11781,28012,22,7397,0,0,73
1787360126,1.25,3.5,11776,28012,89,7397,0,0,75
1787360128,1.23,3.8,12540,28012,13,7397,0,0,73
1787360130,1.23,3.5,11839,28012,22,7397,0,0,73
1787360132,1.21,3.7,11826,28012,23,7397,0,0,73
1787360134,1.21,3.9,11810,28012,17,7397,0,0,73
1787360137,1.28,3.6,11803,28012,25,7397,0,0,72
1787360139,1.28,3.6,11792,28012,26,7397,0,0,72
1787360141,1.28,3.5,11794,28012,27,7397,0,0,72
1787360143,1.25,3.8,11791,28012,27,7397,0,0,72
1787360145,1.25,4.0,11775,28012,28,7397,0,0,72
1787360147,1.23,3.8,11769,28012,28,7397,0,0,72
1787360149,1.23,3.7,11763,28012,95,7397,0,0,75
1787360152,1.21,4.7,12359,28012,11,7397,0,0,73
1787360154,1.21,3.7,11800,28012,19,7397,0,0,73
1787360156,1.21,3.5,11785,28012,24,7397,0,0,73
1787360158,1.20,3.5,11784,28012,24,7397,0,0,73
1787360160,1.20,3.5,11780,28012,20,7397,0,0,73
1787360162,1.18,3.6,11782,28012,24,7397,0,0,73
1787360164,1.18,3.8,11782,28012,24,7397,0,0,73
1787360167,1.17,3.5,11777,28012,22,7397,0,0,72
1787360169,1.17,3.6,11776,28012,17,7397,0,0,72
1787360171,1.17,3.5,11775,28012,27,7397,0,0,73
1787360173,1.23,4.0,11773,28012,23,7397,0,0,73
1787360175,1.23,4.1,11763,28012,27,7397,0,0,73
1787360177,1.21,3.6,11756,28012,96,7397,0,0,75
1787360179,1.21,4.5,11811,28012,17,7397,0,0,74
1787360181,1.28,3.8,11801,28012,21,7397,0,0,73
1787360184,1.28,3.6,11791,28012,24,7397,0,0,73
1787360186,1.28,3.5,11784,28012,23,7397,0,0,72
1787360188,1.25,3.6,11794,28012,21,7397,0,0,72
1787360190,1.25,3.6,11782,28012,50,7397,0,0,73
1787360192,1.31,4.2,12136,28012,16,7397,0,0,74
1787360194,1.31,3.8,11782,28012,21,7397,0,0,73
1787360196,1.45,3.5,11784,28012,21,7397,0,0,73
1787360199,1.45,3.6,11788,28012,22,7397,0,0,73
1787360201,1.45,3.8,11782,28012,22,7397,0,0,73
1787360203,1.41,3.6,11778,28012,24,7397,0,0,73
1787360205,1.41,3.8,11776,28012,24,7397,0,0,73
1787360207,1.38,4.1,11890,28012,6,7397,0,0,74
1787360209,1.38,3.9,13076,28012,34,7397,0,0,74
1787360211,1.35,3.5,11827,28012,23,7397,0,0,73
1787360214,1.35,3.6,11813,28012,24,7397,0,0,73
1787360216,1.35,3.7,11802,28012,25,7397,0,0,73
1787360218,1.32,3.8,11800,28012,25,7397,0,0,73
1787360220,1.32,3.6,11790,28012,20,7397,0,0,73
1787360222,1.38,3.6,11799,28012,25,7397,0,0,73
1787360224,1.38,3.6,11791,28012,25,7397,0,0,73
1787360226,1.43,3.5,11783,28012,26,7397,0,0,73
1787360228,1.43,4.0,11784,28012,25,7397,0,0,73
1787360231,1.43,3.6,11770,28012,96,7397,0,0,76
1787360233,1.87,4.4,11841,28012,21,7397,0,0,74
1787360235,1.87,3.8,11821,28012,22,7397,0,0,74
1787360237,1.80,4.0,11803,28012,22,7397,0,0,73
1787360239,1.80,3.8,11810,28012,23,7397,0,0,74
1787360241,1.80,3.5,11786,28012,23,7397,0,0,74
1787360243,1.82,3.6,11776,28012,24,7397,0,0,73
1787360246,1.82,3.5,11784,28012,24,7397,0,0,74
1787360248,1.75,3.8,11781,28012,95,7397,0,0,76
1787360250,1.75,4.1,11784,28012,19,7397,0,0,75
1787360252,1.77,3.5,11773,28012,20,7397,0,0,74
1787360254,1.77,3.6,11769,28012,22,7397,0,0,74
1787360256,1.77,4.0,11778,28012,90,7397,0,0,76
1787360258,1.79,4.0,12542,28012,11,7397,0,0,74
1787360261,1.79,3.5,11836,28012,22,7397,0,0,74
1787360263,1.81,3.5,11805,28012,22,7397,0,0,74
1787360265,1.81,3.9,11800,28012,23,7397,0,0,74
1787360267,1.90,4.1,11781,28012,24,7397,0,0,74
1787360269,1.90,3.6,11789,28012,24,7397,0,0,74
1787360271,1.90,3.5,11786,28012,14,7397,0,0,74
1787360273,1.83,3.7,11783,28012,25,7397,0,0,74
1787360275,1.83,4.1,11785,28012,28,7397,0,0,73
1787360278,1.76,3.5,11771,28012,16,7397,0,0,73
1787360280,1.76,3.6,11768,28012,25,7397,0,0,73
1787360282,1.78,3.5,11767,28012,25,7397,0,0,73
1787360284,1.78,4.1,11759,28012,28,7397,0,0,73
1787360286,1.78,3.7,11750,28012,97,7397,0,0,77
1787360288,2.28,4.7,12784,28012,11,7397,0,0,74
1787360290,2.28,3.6,11835,28012,20,7397,0,0,74
